q_no,type,subject,key,marks
1,MCQ,GA,B,1
2,MCQ,GA,MTA,1
3,MCQ,GA,A,1
4,MCQ,GA,A,1
5,MCQ,GA,C,1
6,MCQ,GA,D,2
7,MCQ,GA,C,2
8,MCQ,GA,D,2
9,MCQ,GA,B,2
10,MCQ,GA,A,2
11,MCQ,CS,B,1
12,MCQ,CS,B,1
13,MCQ,CS,D,1
14,MCQ,CS,C,1
15,MCQ,CS,A,1
16,MCQ,CS,A,1
17,MCQ,CS,B,1
18,MCQ,CS,B,1
19,MCQ,CS,C,1
20,MCQ,CS,C,1
21,MCQ,CS,B,1
22,MSQ,CS,"B,C,D",1
23,MSQ,CS,"C,D",1
24,MSQ,CS,"A,C,D",1
25,MSQ,CS,"A,C",1
26,MSQ,CS,"B,C",1
27,MSQ,CS,"C,D",1
28,MSQ,CS,"B,D",1
29,MSQ,CS,"A,C",1
30,NAT,CS,"2 to 2 OR 4 to 4",1
31,NAT,CS,"0 to 0",1
32,NAT,CS,"110 to 110",1
33,NAT,CS,"2040 to 2040",1
34,NAT,CS,"10.2 to 10.2",1
35,NAT,CS,"7 to 7",1
36,MCQ,CS,A,2
37,MCQ,CS,D,2
38,MCQ,CS,C,2
39,MCQ,CS,B,2
40,MCQ,CS,A,2
41,MCQ,CS,B,2
42,MCQ,CS,C,2
43,MCQ,CS,A,2
44,MCQ,CS,C,2
45,MCQ,CS,C,2
46,MCQ,CS,B,2
47,MCQ,CS,C,2
48,MCQ,CS,D,2
49,MSQ,CS,"B,C,D",2
50,MSQ,CS,"B,C,D",2
51,MSQ,CS,"A,D",2
52,MSQ,CS,"C,D",2
53,MSQ,CS,"C,D",2
54,MSQ,CS,"A,D",2
55,MSQ,CS,"A,B",2
56,NAT,CS,"5040 to 5040",2
57,NAT,CS,"4096 to 4096",2
58,NAT,CS,"5 to 5",2
59,NAT,CS,"8 to 8",2
60,NAT,CS,"2 to 2",2
61,NAT,CS,"2 to 2",2
62,NAT,CS,"6 to 6",2
63,NAT,CS,"4 to 4",2
64,NAT,CS,"19 to 19",2
65,NAT,CS,"3 to 3",2
